tconst,primaryTitle,title,frenchTitle,startYear,genres,production_countries,runtimeMinutes,revenue,tagline,overview,id,averageRating,numVotes,actor1,actor2,actor3
tt0006864,Intolerance,Intolerance: Love's Struggle Throughout the Ages,Intolérance,1916,"History, Drama",US,163,4000000.0,The Cruel Hand of Intolerance,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",3059,7.7,17434,Lillian Gish,Robert Harron,Mae Marsh
tt0009968,Broken Blossoms,Broken Blossoms,Le lys brisé,1919,"Drama, Romance",US,90,2400000.0,A Tale of Forbidden Love,The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.,899,7.2,11483,Lillian Gish,Richard Barthelmess,Donald Crisp
tt0010307,J'accuse!,J'accuse,J'accuse,1919,"History, War, Drama, Horror, Romance",FR,166,0.0,,"The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.",70804,7.7,2249,Romuald Joubé,Maxime Desjardins,Séverin-Mars
tt0010418,Male and Female,Male and Female,L'admirable Crichton,1919,"Drama, Adventure, Fantasy",US,116,0.0,CECIL B DE MILLE'S SUBLIME MIRROR OF LIFE,"When an aristocratic family and their servants are shipwrecked, the butler becomes their ruler.",53761,7.0,2032,Thomas Meighan,Theodore Roberts,Raymond Hatton
tt0011439,The Mark of Zorro,The Mark of Zorro,Le signe de Zorro,1920,"Adventure, Drama, Western, Action, Romance",US,79,0.0,Here's the picture in which the world's greatest exponent of good cheer and humor gives you a genuine riot of fun and thrills-pep and action-comedy-love-guaranteeing to drive away all your blues.,"Don Diego Vega pretends to be an indolent fop as a cover for his true identity, the masked avenger Zorro.",42657,7.0,2946,Douglas Fairbanks,Marguerite De La Motte,Noah Beery
tt0011565,The Penalty,The Penalty,Satan,1920,"Crime, Drama, Horror",US,90,0.0,,"Blizzard, deranged from a childhood operation in which both his legs were needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld.",27509,7.3,2777,Charles Clary,Doris Pawn,Jim Mason
tt0011841,Way Down East,Way Down East,À travers l'orage,1920,"Drama, Action, Romance",US,145,4500000.0,A simple story for plain people.,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",31509,7.3,6125,Lillian Gish,Richard Barthelmess,Mrs. David Landau
tt0012190,The Four Horsemen of the Apocalypse,The Four Horsemen of the Apocalypse,Les Quatre Cavaliers de l'Apocalypse,1921,"Drama, War, Romance",US,150,0.0,,"Set in the years before and during World War I, this epic tale tells the story of a rich Argentine family, one of its two descending branches being half of French heritage, the other being half German. Following the death of the family patriarch, the man's two daughters and their families resettle to France and Germany, respectively. In time the Great War breaks out, putting members of the family on opposing sides.",31432,7.1,3720,Rudolph Valentino,Alice Terry,Pomeroy Cannon
tt0012349,The Kid,The Kid,Le Kid,1921,"Drama, Comedy, Family",US,68,2500000.0,6 reels of Joy.,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,10098,8.2,141474,Charles Chaplin,Edna Purviance,Jackie Coogan
tt0012532,Orphans of the Storm,Orphans of the Storm,Les Deux Orphelines,1921,"History, Drama, Romance",US,150,0.0,A dramatic epic,"France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.",42511,7.3,5653,Lillian Gish,Dorothy Gish,Joseph Schildkraut
tt0012763,Tol'able David,Tol'able David,Le coeur sur la main,1921,Drama,US,99,0.0,"Even from the girl he had heard it - ""Why, you aint grown up yet David but you're tol'able""","Young David Kinemon is a good-natured, easy-going lad in a mountain village. Circumstances force him to take his brother's place as mail carrier for the community, and this brings him into deadly contact with the vicious Hatburn brothers.",71436,7.1,2005,Richard Barthelmess,Gladys Hulette,Walter P. Lewis
tt0013140,Foolish Wives,Foolish Wives,Folies de femmes,1922,"Drama, Thriller",US,117,400200.0,,A con artist masquerades as Russian nobility and attempts to seduce the wife of an American diplomat.,35227,7.0,4236,Rudolph Christians,Miss DuPont,Maude George
tt0013556,Robin Hood,Robin Hood,Robin des Bois,1922,"Adventure, Family, Drama, Action, Romance",US,143,0.0,,"Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, with Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swashbuckling feats and cliffhanging perils!",71066,7.0,2585,Douglas Fairbanks,Wallace Beery,Sam De Grasse
