tconst;primaryTitle;title;frenchTitle;startYear;genres;production_countries;runtimeMinutes;revenue;tagline;overview;id;averageRating;numVotes;actor1;actor2;actor3
tt0003643;The Avenging Conscience: or 'Thou Shalt Not Kill';The Avenging Conscience;La conscience vengeresse;1914;Drama, Horror, Crime;US;78;0.0;The criminal haunted by tortures of the mind;"Thwarted by his despotic uncle from continuing his love affair, a young man's thoughts turn dark as he dwells on ways to deal with his uncle. Becoming convinced that murder is merely a natural part of life, he kills his uncle and hides the body. However, the man's conscience awakens; Paranoia sets in and nightmarish visions begin to haunt him.";28196;6.4;1531;Henry B. Walthall;Spottiswoode Aitken;Blanche Sweet
tt0003772;Cinderella;Cinderella;Cinderella;1914;Drama, Fantasy;US;52;0.0;;Based on Charles Perrault's fairy tale: Cinderella is mistreated by her stepmother and stepsisters, but she is able to go to the Royal Ball with the help of the Fairy Godmother.;92349;6.0;1116;Mary Pickford;Owen Moore;Isabel Vernon
tt0004181;Judith of Bethulia;Judith of Bethulia;Judith de Béthulie;1914;Drama, History, War;US;61;0.0;;Griffith adapts the story of the Apocryphal Book of Judith to the screen. During the siege of the Jewish city of Bethulia by the Assyrian tyrant Holofernes, a widow named Judith forms a plan to stop the war as her people suffer in starvation, nearly ready to surrender.;98078;6.2;1501;Blanche Sweet;Henry B. Walthall;Mae Marsh
tt0004465;The Perils of Pauline;The Perils of Pauline;Les exploits d'Elaine;1914;Drama, Adventure, Action;US;199;0.0;;The Perils of Pauline is a motion picture serial shown in weekly installments featuring the actress Pearl White playing the title character. Pauline has often been cited as a famous example of a damsel-in-distress, although viewers will find her character more resourceful and less helpless than the classic 'damsel' stereotype. Nine episodes (from a condensed 1916 re-release) survive to this day.;36821;6.3;1107;Pearl White;Crane Wilbur;Paul Panzer
tt0004707;Tillie's Punctured Romance;Tillie's Punctured Romance;La Folle Aventure de Charlot et de Lolotte;1914;Comedy, Drama, Romance;US;82;0.0;The WORLD'S OUTSTANDING COMEDIANS IN THE FUNNIEST COMEDY OF ALL TIME;A womanizing city man meets Tillie in the country, after a fight with his girlfriend. When he sees that Tillie's father has a very large bankroll for his workers, he persuades her to elope with him.;22943;6.2;3824;Charles Chaplin;Marie Dressler;Mabel Normand
tt0004972;The Birth of a Nation;The Birth of a Nation;Naissance d'une nation;1915;History, Drama, War;US;195;11000000.0;The Fiery Cross of the Ku Klux Klan!;Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch.;618;6.1;27488;Lillian Gish;Mae Marsh;Henry B. Walthall
tt0005060;Carmen;Carmen;Carmen;1915;Drama, Musical;US;59;0.0;;Hot-blooded gypsy Carmen attempts to seduce Don Jose, a lawman sent to thwart a gang of illegal smugglers in Spain. Carmen's plan backfires when Don Jose's passion for the gypsy girl escalates into a jealous rage as she spurns him for her bullfighter beau, Escamillo, with tragic results.;109632;6.3;1144;Geraldine Farrar;Wallace Reid;Pedro de Cordoba
tt0005078;The Cheat;The Cheat;Forfaiture;1915;Drama, Romance;US;59;137365.0;;A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money.;70368;6.5;2948;Fannie Ward;Sessue Hayakawa;Jack Dean
tt0005960;The Regeneration;The Regeneration;Régénération;1915;Romance, Drama, Biography, Crime;US;72;0.0;;At 10 years old, Owen becomes a ragged orphan when his mother dies. Abusive next-door neighbors the Conways take him in, and by 17, Owen has learned that might is right. At 25, he's a career gangster: loitering, gambling and drinking in dens of iniquity. Marie Deering arrives in Owen's area, eager to empower the impoverished, gang-affiliated youth through education. Owen slowly but surely leaves his old life behind, choosing the narrow path- all the while falling in love with Marie. Skinny, who's taken over Owen's role in the gang, reappears to him, spelling trouble.;86081;6.8;1502;Rockliffe Fellowes;Anna Q. Nilsson;William Sheer
tt0006206;Les Vampires;The Vampires or, The Arch Criminals of Paris;Les vampires;1915;Adventure, Drama, Action, Thriller, Crime;FR;421;0.0;Every second exciting — every second thrilling — every episode sensational;Paris is prey to an invisible terror against which the police can do nothing: a sinister organization that sows chaos and death. The intrepid journalist Philippe Guérande and his partner embark on a long crusade to put an end to the crimes of the Great Vampire and Irma Vep, his dangerous accomplice. (A ten episode movie serial.);29082;7.3;5696;Musidora;Édouard Mathé;Marcel Lévesque
