tconst;id;frenchTitle;primaryTitle;averageRating;runtimeMinutes;genres;startYear;overview;directors;acteurs;poster_path;video;frenchOverview
tt0006864;3059;Intolérance;Intolerance;7.7;163;History, Drama;1916;The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.;D.W. Griffith;Lillian Gish, Robert Harron, Mae Marsh;https://image.tmdb.org/t/p/original//t272DJA8hoq7Ru0BikCWi6GYi26.jpg;Non disponible;À travers l'image d'une femme berçant un enfant, quatre épisodes de l'intolérance sont racontés dans une fresque monumentale. Un épisode moderne sur un gréviste condamné à la pendaison. Un épisode biblique lors d'une noce à Cana. Un épisode des guerres de religion au temps de Charles IX. Un épisode chaldéen. Dans tous l'intolérance l'emporte sur l'amour.
tt0009968;899;Le lys brisé;Broken Blossoms;7.2;90;Drama, Romance;1919;The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.;D.W. Griffith;Lillian Gish, Richard Barthelmess, Donald Crisp;https://image.tmdb.org/t/p/original//njwFIUL76zaRmPemnrZVmmTSCjz.jpg;Non disponible;Dans un quartier pauvre de Londres, une jeune fille, Lucy, est battue par son père, champion de boxe ivrogne et raciste. Un soir, alors qu'elle erre dans la rue déboussolée et blessée, Cheng Huan, jeune immigré chinois timide et idéaliste, la recueille chez lui. Il prend alors soin d'elle et en tombe amoureux. Mais le père ne tarde pas à les retrouver…
tt0010307;70804;J'accuse;J'accuse!;7.7;166;History, War, Drama, Horror, Romance;1919;The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.;Abel Gance;Romuald Joubé, Maxime Desjardins, Séverin-Mars;https://image.tmdb.org/t/p/original//wthLA8TDPN2kt4cPIs0KI3eDf8a.jpg;Non disponible;Dans un village provençal du sud de la France, les villageois accueillent avec enthousiasme la déclaration de guerre avec l'Allemagne en 1914 et affluent pour s'enrôler. Parmi eux, François Laurin, un homme au tempérament violent, marié à Édith, la fille d'un soldat vétéran appelé Maria Lazare. François soupçonne, à juste titre, qu'Édith mène une liaison avec le poète Jean Diaz qui vit au village avec sa mère, et il envoie Édith chez ses parents en Lorraine - où elle est par la suite capturée et violée par des soldats allemands. François et Jean se retrouvent au front dans le même bataillon...
tt0010418;53761;L'admirable Crichton;Male and Female;7.0;116;Drama, Adventure, Fantasy;1919;When an aristocratic family and their servants are shipwrecked, the butler becomes their ruler.;Cecil B. DeMille;Thomas Meighan, Theodore Roberts, Raymond Hatton;https://image.tmdb.org/t/p/original//uYaztWl9nlbEaRqrehSqYqD81zV.jpg;Non disponible;Après un naufrage, le majordome d'une famille de la haute société londonienne veut prendre le commandement du groupe réfugié sur une île déserte.
tt0011439;42657;Le signe de Zorro;The Mark of Zorro;7.0;79;Adventure, Drama, Western, Action, Romance;1920;Don Diego Vega pretends to be an indolent fop as a cover for his true identity, the masked avenger Zorro.;Fred Niblo;Douglas Fairbanks, Marguerite De La Motte, Noah Beery;https://image.tmdb.org/t/p/original//1N1gSSJs9ULgSWUM0W7zCXSR2QK.jpg;Non disponible;"Il s'agit de la toute première des nombreuses adaptations au cinéma des aventures de Zorro, personnage créé en 1919 par Johnston McCulley dans l'histoire Le Fléau de Capistrano. Écrit, produit et joué par Douglas Fairbanks, grande star de l'époque, le film est un tel succès commercial que le roman sera désormais réédité sous le même titre que le film. Dans une vieille ville de Californie espagnole, au XIXème siècle, un cavalier du nom de Zorro se bat contre le gouverneur pour défendre les pauvres et les opprimés. Zorro apparaît rapidement comme l'éclair avec un certain humour. Il sort toujours vainqueur de ses combats avec ses adversaires et laisse sa marque : un « Z » signé à la pointe de l'épée."
tt0011565;27509;Satan;The Penalty;7.3;90;Crime, Drama, Horror;1920;Blizzard, deranged from a childhood operation in which both his legs were needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld.;Wallace Worsley;Charles Clary, Doris Pawn, Jim Mason;https://image.tmdb.org/t/p/original//ct5XMbwZWv3SzZ01lYM4rQihRmA.jpg;Non disponible;"À la suite d'un accident de la circulation, un enfant est amputé des deux jambes par le docteur Ferris; le jeune garçon apprend, quelques heures plus tard, que l'opération n'était pas indispensable à sa survie : il demeurera à jamais infirme à cause de la maladresse d'un jeune chirurgien inexpérimenté... Vingt-cinq ans plus tard, devenu ""Blizzard"", il domine et régente la pègre de la ""Barbary Coast"" de San Francisco et prépare dans l'ombre la révolte des démunis pour s'emparer de la ville."
tt0011841;31509;À travers l'orage;Way Down East;7.3;145;Drama, Action, Romance;1920;A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.;D.W. Griffith;Lillian Gish, Richard Barthelmess, Mrs. David Landau;https://image.tmdb.org/t/p/original//xzrSiQuiSb5hKePkU9AFuCcgRxE.jpg;Non disponible;Lennox un homme très riche et fort d'un succès certain chez les jeunes filles de la bonne société, séduit Anna d'extraction plus modeste. Cette dernière, envoyée par sa mère demander une aide financière auprès de parents éloignés se laisse convaincre par les assauts répétés de Lennox et une demande en mariage de celui-ci. Une cérémonie fantoche orchestrée par Lennox est célébrée, et le mariage consommé. Mais, Anna tombant rapidement enceinte, Lennox la laisse tomber. Seule, elle accouche de son enfant, Trust Lennox, qui disparaît rapidement d'une maladie. À la mort de l'enfant, Anna erre et trouve finalement un travail comme femme à tout faire chez Squire Bartlett, un propriétaire terrien. David, le fils de Squire Bartlett, s'éprend d'elle. Mais, bien que personne n'en ait alors eu vent, elle ne peut souscrire à ses avances, à cause de son passé.
tt0012190;31432;Les Quatre Cavaliers de l'Apocalypse;The Four Horsemen of the Apocalypse;7.1;150;Drama, War, Romance;1921;Set in the years before and during World War I, this epic tale tells the story of a rich Argentine family, one of its two descending branches being half of French heritage, the other being half German. Following the death of the family patriarch, the man's two daughters and their families resettle to France and Germany, respectively. In time the Great War breaks out, putting members of the family on opposing sides.;Rex Ingram;Rudolph Valentino, Alice Terry, Pomeroy Cannon;https://image.tmdb.org/t/p/original//262nYFe45BxX22M9TPhB4BwEqby.jpg;Non disponible;
tt0012349;10098;Le Kid;The Kid;8.2;68;Drama, Comedy, Family;1921;A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.;Charles Chaplin;Charles Chaplin, Edna Purviance, Jackie Coogan;https://image.tmdb.org/t/p/original//1d0TOt6CjLRFCYh6yh0les0gmXR.jpg;Non disponible;Un vagabond recueille un enfant abandonné par sa jeune mère qui, quelques années plus tard, est prise de remords et tente de retrouver son fils.
tt0012532;42511;Les Deux Orphelines;Orphans of the Storm;7.3;150;History, Drama, Romance;1921;France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.;D.W. Griffith;Lillian Gish, Dorothy Gish, Joseph Schildkraut;https://image.tmdb.org/t/p/original//gbBzFuiVnuSPYZRXRArILc3Ywz3.jpg;Non disponible;À Paris, peu avant la Révolution française. Deux orphelines sont séparées par le destin. L'une, aveugle, est exploitée par une horrible mégère qui la fait mendier dans les rues. L'autre devient la proie d'un marquis débauché, qui veut la séduire de force.
