tconst;primaryTitle;title;frenchTitle;startYear;genres;production_countries;runtimeMinutes;revenue;tagline;overview;id;averageRating;numVotes;actor;actress;director;producer;writer
tt0010307;J'accuse!;J'accuse;J'accuse;1919;Horror, War, Romance, Drama, History;FR;166;0.0;;The story of two men, one married, the other the lover of the other's wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.;70804;7.7;2240;Blaise Cendrars, Maxime Desjardins, Paul Duc, Pierre Danis, Romuald Joubé, Séverin-Mars;Angèle Guys, Elizabeth Nizan, Mancini, Maryse Dauvray;Abel Gance;Charles Pathé;Abel Gance
tt0013933;The Faithful Heart;Cœur fidèle;Coeur fidèle;1923;Romance, Drama;FR;87;0.0;;The good guys win out in this sweet tale about a young orphan who is abused for much of her life but who eventually finds happiness when she marries an honest man who extricates her from her situation.;67440;7.4;1540;Claude Benedict, Edmond Van Daële, Léon Mathot;Gina Manès, Madame Maufroy, Madeleine Erickson, Marie Epstein;Jean Epstein;;Jean Epstein, Marie Epstein
tt0015014;L'inhumaine;L'Inhumaine;L'inhumaine;1924;Romance, ScienceFiction, Drama, Mystery;FR;135;0.0;;"A famous singer Claire Lescot, who lives on the outskirts of Paris, is courted by many men, including a maharajah, Djorah de Nopur, and a young Swedish scientist, Einar Norsen. At her lavish parties she enjoys their amorous attentions but she remains emotionally aloof and heartlessly taunts them. When she is told that Norsen has killed himself because of her, she shows no feelings. At her next concert she is booed by an audience outraged at her coldness. She visits the vault in which Norsen's body lies, and as she admits her feelings for him she discovers that he is alive; his death was feigned. Djorah is jealous of their new relationship and causes Claire to be bitten by a poisonous snake. Her body is brought to Norsen's laboratory, where he, by means of his scientific inventions, restores Claire to life.";54539;7.2;1134;Fred Kellerman, Jaque Catelain, Las Bonambellas, Léonid Walter de Malte, Philippe Hériat, Prince Tokio, Rolf de Mare Ballets;Georgette Leblanc, Kiki of Montparnasse, Marcelle Pradot;Marcel L'Herbier;Marie-Laure de Noailles;Georgette Leblanc, Joris-Karl Huysmans, Marcel L'Herbier, Pierre Mac Orlan
tt0017075;The Lodger: A Story of the London Fog;The Lodger: A Story of the London Fog;Les cheveux d'or;1927;Thriller, Drama, Crime, Mystery;GB;92;0.0;;London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room.;2760;7.3;14289;Arthur Chesney, Ivor Novello, Malcolm Keen, Reginald Gardiner, Wallace Bosco;Daisy Campbell, Eve Gray, June Tripp, Marie Ault, Maudie Dunham;Alfred Hitchcock;;Eliot Stannard, Marie Belloc Lowndes
tt0017196;Nana;Nana;Nana;1926;Romance, Drama;FR;150;0.0;;A government official, Count Muffat, falls under the spell of Nana, a young actress. She becomes his mistress, living in the sumptuous apartment which he provides for her. Instead of elevating herself to Muffat's level, however, Nana drags the poor man down to hers - in the end, both lives have been utterly destroyed.;66812;6.6;1011;Claude Autant-Lara, Jean Angelo, Karl Harbacher, Pierre Champagne, Pierre Lestringuez, Raymond Guérin-Catelain, Werner Krauss;Catherine Hessling, Jacqueline Forzane, Valeska Gert;Jean Renoir;Jean Renoir;Denise Leblond, Pierre Lestringuez, Émile Zola
tt0017825;Downhill;Downhill;C'est la vie;1927;Thriller, Adventure, Drama;GB;110;0.0;A College Hero round whom is woven a picture of Love and Treachery.;Roddy, first son of the rich Berwick family, is expelled from school when he takes the blame for his friend Tim's charge. His family sends him away and all of his friends leave him alone. Through many life choices that don't work out in his favor, Roddy begins to find his life slowly spiraling out of his control.;52782;6.0;3292;Ben Webster, Ian Hunter, Ivor Novello, Jerrold Robertshaw, Norman McKinnel, Robin Irvine;Annette Benson, Isabel Jeans, Lilian Braithwaite, Sybil Rhoda;Alfred Hitchcock;;Constance Collier, Eliot Stannard, Ivor Novello
tt0018328;The Ring;The Ring;L'arène;1927;Romance, Drama, Sport;GB;89;0.0;Two boxers compete for the love of a woman.;Both Jack Sander and Bob Corby are boxers in love with Mabel. Jack and Mabel wed, but their marriage is flat. The young wife looks to Bob for comfort.;36056;6.1;4138;Carl Brisson, Charles Farrell, Eugene Corri, Forrester Harvey, Gordon Harker, Harry Terry, Ian Hunter, Lawrence Hanray;Clare Greet, Lillian Hall-Davis;Alfred Hitchcock;;Alfred Hitchcock
tt0018770;The Fall of the House of Usher;The Fall of the House of Usher;La chute de la maison Usher;1928;Fantasy, Drama, Horror;FR;72;0.0;;A stranger called Allan goes to the House of Usher. He is the sole friend of Roderick Usher, who lives in the eerie house with his sick wife Madeleine. When she dies, Roderick does not accept her death, and in the dark night, Madeleine returns.;28189;7.2;4804;Abel Gance, Charles Lamy, Fournez-Goffard, Halma, Jean Debucourt, Luc Dartagnan, Pierre Hot, Pierre Kefer;Marguerite Gance;Jean Epstein;Jean Epstein;Edgar Allan Poe, Jean Epstein, Luis Buñuel
tt0019254;The Passion of Joan of Arc;The Passion of Joan of Arc;La Passion de Jeanne d'Arc;1928;Drama, History, Biography;FR;114;0.0;An Immortal Screen Classic that will live Forever!;A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.;780;8.1;64935;André Berley, Antonin Artaud, Armand Lurville, Eugene Silvain, Jacques Arnna, Jean d'Yd, Louis Ravet, Maurice Schutz, Michel Simon;Maria Falconetti;Carl Theodor Dreyer;;Carl Theodor Dreyer, Joseph Delteil
tt0019646;L'Argent;L'Argent;Jazz-Bank;1928;Romance, Drama;FR;195;0.0;;Adapted from the novel L'Argent by Émile Zola, the film portrays the world of banking and the stock market in Paris in the 1920s.;50181;7.5;1205;Alfred Abel, Antonin Artaud, Henry Victor, Jules Berry, Pierre Alcover, Pierre Juvenet, Raymond Rouleau;Brigitte Helm, Marie Glory, Yvette Guilbert;Marcel L'Herbier;Jean Sapene;Arthur Bernède, Marcel L'Herbier, Émile Zola
tt0019702;Blackmail;Blackmail;Chantage;1929;Thriller, Drama, Crime, Mystery;GB;85;0.0;Hold everything till you've heard this one!;London, 1929. Frank Webber, a very busy Scotland Yard detective, seems to be more interested in his work than in Alice White, his girlfriend. Feeling herself ignored, Alice agrees to go out with an elegant and well-mannered artist who invites her to visit his fancy apartment.;543;6.9;12878;Charles Paton, Cyril Ritchard, Donald Calthrop, Ex-Det. Sergt. Bishop, Harvey Braban, John Longden, Johnny Ashby;Anny Ondra, Hannah Jones, Sara Allgood;Alfred Hitchcock;;Alfred Hitchcock, Benn W. Levy, Charles Bennett
tt0020142;The Manxman;The Manxman;L'homme de l'île de Man;1929;Romance, Drama;GB;110;0.0;The screen's supreme masterpiece!;A fisherman and a rising lawyer who grew up together as brothers fall in love with the same woman.;20213;6.2;3460;Carl Brisson, Harry Terry, Kim Peacock, Malcolm Keen, Randle Ayrton, Wilfred Shine;Anny Ondra, Clare Greet, Nellie Richards;Alfred Hitchcock;;Eliot Stannard, Hall Caine
tt0020269;Piccadilly;Piccadilly;Piccadilly;1929;Drama, Crime;GB;92;0.0;;A young Chinese woman, working in the kitchen at a London dance club, is given the chance to become the club's main act.;51079;7.1;1946;Charles Laughton, Cyril Ritchard, Debroy Somers and His Band, Gordon Begg, Jameson Thomas, King Hou Chang;Anna May Wong, Gilda Gray, Hannah Jones, Vi Kaley;Ewald André Dupont;Ewald André Dupont;Arnold Bennett
tt0020286;A Throw of Dice;A Throw of Dice;La partie de dés;1929;Romance, Adventure, Drama;DE,IN,GB;74;0.0;;Two neighboring kings addicted to gambling, Ranjit and his cousin Sohat, vie for the same beautiful young woman, Sunita, daughter of the hermit Kanwa.;35454;6.5;1078;Charu Roy, Himanshu Rai, Modhu Bose, Sarada Gupta, Tincory Chakrabarty;Lala Bijoykishen, Seeta Devi;Franz Osten;Domenico Procacci, Himanshu Rai, Nadine Luque;Max Jungk, Niranjan Pal, W.A. Burton
tt0020793;Escape from Dartmoor;A Cottage on Dartmoor;Un Cottage dans le Dartmoor;1930;Drama, Crime;SE,GB;88;0.0;;A jealous barber's assistant becomes enraged by the attentions the manicurist he's obsessed with and a repeat customer pay to one another.;94716;7.5;1288;Anthony Asquith, Hans Adalbert Schlettow, Judd Green, Uno Henning;Norah Baring;Anthony Asquith;;Anthony Asquith, Herbert Price
tt0021165;Murder!;Murder!;Meurtre;1930;Thriller, Drama, Crime, Mystery;GB;92;0.0;Who killed Edna Druce?;When a woman is convicted of murder, one of the jurors selected to serve on the murder-trial jury believes the accused, an aspiring actress, is innocent of the crime and takes it upon himself to apprehend the real killer.;31930;6.3;7454;Donald Calthrop, Edward Chapman, Esme Percy, Herbert Marshall, Joynson Powell, Miles Mander;Amy Brandon Thomas, Esme V. Chaplin, Norah Baring, Phyllis Konstam;Alfred Hitchcock;;Alfred Hitchcock, Clemence Dane, Helen Simpson, Walter C. Mycroft
tt0021309;The Story of the Fox;The Tale of the Fox;Le roman de Renard;1937;Animation, Adventure, Family, Comedy, Fantasy;FR;63;2094.0;;In the kingdom of animals, Master Fox is used to trick and fool everyone. So the King, the Lion, receives more and more complaints about him. He orders that Master Fox is arrested and brought to him.;90034;7.6;1664;Claude Dauphin, Eddy Debray, Léon Larive, Nicolas Amato, Pons, Robert Seller, Romain Bouquet, Sylvain Itkine;Suzy Dornac, Sylvia Bataille;Irene Starewicz, Wladyslaw Starewicz;Louis Nalpas, Roger Richebé;Antoinette Nordmann, Irene Starewicz, Jean Nohain, Roger Richebé
tt0021409;Under the Roofs of Paris;Under the Roofs of Paris;Sous les toits de Paris;1930;Music, Musical, Romance, Comedy, Drama;FR;96;0.0;;In the tenement slums of Paris between the world wars, impoverished street singer Albert yearns for beautiful Romanian immigrant Pola. Pola's boyfriend, local hoodlum Fred, grows jealous of Albert's constant attention to his woman and frames the hapless musician for one of his own petty crimes. But while Albert is in prison for Fred's misdeed, Pola ends up falling for Albert's faithful best friend, Louis.;54419;7.0;2572;Albert Préjean, Bill Bocket, Edmond T. Gréville, Gaston Modot, Paul Ollivier, Raymond Aimos, Raymond Blot, Thomy Bourdelle;Delphine Abdala, Pola Illéry;René Clair;Frank Clifford, Georges Lourau;René Clair
tt0021577;L'Age d'Or;L'Âge d'or;Âge d'or;1930;Comedy, Romance, Drama;FR;63;7940.0;A surrealist masterpiece.;The film consists of a series of tightly interlinked vignettes, the most sustained of which details the story of a man and a woman who are passionately in love. Their attempts to consummate their passion are constantly thwarted, by their families, by the Church and bourgeois society in general.;5729;7.2;15271;Artigas, Bonaventura Ibáñez, Duchange, Gaston Modot, Jean Aurenche, Lionel Salem, Max Ernst;Caridad de Laberdesque, Germaine Noizet, Lya Lys;Luis Buñuel;Le Vicomte de Noailles;Luis Buñuel, Salvador Dalí
tt0021739;The Bitch;La Chienne;La chienne;1931;Romance, Drama, Crime;FR;95;0.0;;"Cashier Maurice Legrand is married to Adele, a terror. By chance, he meets Lucienne, ""Lulu"", and make her his mistress. He thinks he finally met love, but Lulu is nothing but a streetwalker, in love with Dede, her pimp. She only accepts Legrand to satisfy Dede's needs of money.";26614;7.5;5114;Christian Argentin, Georges Flamant, Lucien Mancini, Michel Simon, Pierre Desty, Roger Gaillard, Romain Bouquet;Jane Pierson, Janie Marèse, Mlle Doryans;Jean Renoir;Pierre Braunberger, Roger Richebé;Georges de La Fouchardière, Jean Renoir
tt0022017;Comradeship;Comradeship;La tragédie de la mine;1931;Thriller, Drama;DE,FR;93;0.0;;The picture tells of a mine disaster where German miners rescue French miners from an undergound fire and explosion. The story takes place in the Lorraine/Saar region, along the border between France and Germany.;42836;7.5;1906;Alex Bernard, Alexander Granach, Daniel Mendaille, Ernst Busch, Fritz Kampers, Georges Charlia, Gustav Püttjer, Oskar Höcker;Andrée Ducret, Elisabeth Wendt;Georg Wilhelm Pabst;Seymour Nebenzal;Carl Haensel, Gerbert Rappaport, Karl Otten, Peter Martin Lampel
tt0022125;Marius;Marius;Marius;1931;Comedy, Romance, Drama;FR;130;0.0;;"César runs a bar along Marseilles' port, assisted by his 23 year old son, Marius. Colorful characters abound: M. Panisse, an aging widower and prosperous sail maker; Honorine, a fishmonger with a sidewalk stall near the bar; her daughter, Fanny, who helps her sell cockles just outside the bar; and various old salts. Friends since childhood, Fanny and Marius love each other, but Marius has a secret wanderlust: every ship's whistle stirs a longing for foreign lands. When M. Panisse seeks Fanny's hand in marriage and when a departing clipper needs a deckhand, Marius and Fanny must decide who and what they love most. César, with his generous, wise spirit, tries to guide his son.";42818;7.8;2730;Alexandre Mihalesco, Fernand Charpin, Lucien Callamand, Paul Dullac, Pierre Fresnay, Raimu, Robert Vattier, Édouard Delmont;Alida Rouffe, Orane Demazis;Alexander Korda;Marcel Pagnol, Robert Kane;Marcel Pagnol
tt0022150;Le Million;Le Million;Le million;1931;Comedy, Musical, Music;FR;91;0.0;"You MUST see it to know how indescribably clever and enormously ""smart"" a movie CAN be!";Debt-ridden painter Michel is overcome with joy at discovering that he has just won 1 million florins in the Dutch lottery, but almost immediately, he discovers that his softhearted girlfriend, Béatrice, has given away his jacket containing the winning ticket to an elderly petty thief. Soon Michel, Beatrice and Michel's artistic rival, Prosper, are hurtling through the streets of Paris on the trail of the missing jacket.;32317;7.3;3958;Constantin Siroesco, Jean-Louis Allibert, Paul Ollivier, Pedro Elviro, Raymond Cordy, René Lefèvre;Annabella, Jane Pierson, Odette Talazac, Vanda Gréville;René Clair;;Georges Berr, Marcel Guillemaud, René Clair
tt0022599;À Nous la Liberté;À Nous la Liberté;À nous la liberté!;1931;Comedy, Musical, Music;FR;83;0.0;;In this classic French satire, Louis, a convict, escapes from prison and takes on legitimate work, making his way up in the business world. Eventually becoming the head of a successful factory, Louis opts to modernize his company with mechanical innovations. But when his friend Émile finally leaves jail years later and reunites with Louis, the past catches up with them. The two, worried about being apprehended by police, long to flee the confines of industry.;31514;7.4;5115;André Michaud, Henri Marchand, Jacques Shelly, Léon Lorin, Paul Ollivier, Raymond Cordy, Vincent Hyspa, William Burke;Germaine Aussey, Rolla France;René Clair;Frank Clifford;René Clair
tt0022718;Boudu Saved from Drowning;Boudu Saved from Drowning;Boudu sauvé des eaux;1932;Comedy;FR;85;0.0;;Michel Simon gives one of the most memorable performances in screen history as Boudu, a Parisian tramp who takes a suicidal plunge into the Seine and is rescued by a well-to-do bookseller, Edouard Lestingois. The Lestingois family decides to take in the irrepressible bum, and he shows his gratitude by shaking the household to its foundations. With Boudu Saved from Drowning, legendary director Jean Renoir takes advantage of a host of Parisian locations and the anarchic charms of his lead actor to create an effervescent satire of the bourgeoisie.;48365;7.2;6471;Charles Granval, Georges D'Arnoux, Jacques Becker, Jean Dasté, Jean Gehret, Max Dalban, Michel Simon;Geneviève Cadix, Marcelle Hainia, Sévérine Lerczinska;Jean Renoir;;René Fauchois
tt0022787;Wooden Crosses;Wooden Crosses;Les croix de bois;1932;Drama, War;FR;115;0.0;;The young and patriotic student Demachy joins the French army in 1914 to defend his country. But he and his comrades soon experience the terrifying, endless trench war in Champagne, where more and more wooden crosses have to be erected for this cannon fodder.;32859;7.7;1818;Antonin Artaud, Charles Vanel, Gabriel Gabrio, Jean Galland, Marcel Delaître, Paul Azaïs, Pierre Blanchar, Raymond Aimos, Raymond Cordy, René Bergeron;;Raymond Bernard;;André Lang, Raymond Bernard, Roland Dorgelès
tt0022877;Fanny;Fanny;Fanny;1932;Comedy, Drama;FR;125;0.0;;Picking up moments after the end of Marius, this film follows Fanny’s grief after Marius’s departure—and her realization that she’s pregnant. Panisse continues courting her and embraces the baby’s impending arrival as a gift, so long as its paternity remains a secret. Fanny and Panisse wed, but after her baby’s birth, Marius returns unexpectedly and demands what he believes is still his.;43146;7.8;2027;Auguste Mouriès, Fernand Charpin, Marcel Maupi, Pierre Fresnay, Raimu, Robert Vattier;Alida Rouffe, Milly Mathis, Odette Roger, Orane Demazis;Marc Allégret;Marcel Pagnol, Roger Richebé;Marcel Pagnol
tt0023284;Night at the Crossroads;Night at the Crossroads;La nuit du carrefour;1932;Drama, Crime, Mystery;FR;75;0.0;;"A gang of thieves utilize a cross-road garage as their hideaway; after accidentally murdering a jewel thief, the heat is on.";84038;6.5;1013;Boulicot, Dignimont, G.A. Martin, Georges Koudria, Georges Térof, Jean Gehret, Max Dalban, Michel Duran, Pierre Renoir;Winna Winifried;Jean Renoir;;Georges Simenon, Jean Renoir
tt0023649;Vampyr;Vampyr;Vampyr, ou l'étrange aventure de David Gray;1932;Fantasy, Horror;DE,FR;75;0.0;The Strange Adventure of Allan Gray;Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.;779;7.4;21716;Albert Bras, Georges Boidin, Jan Hieronimko, Julian West, Maurice Schutz;Henriette Gérard, Jane Mora, N. Babanini, Rena Mandel, Sybille Schmitz;Carl Theodor Dreyer;;Carl Theodor Dreyer, Christen Jul, Sheridan Le Fanu
tt0024473;The Private Life of Henry VIII;The Private Life of Henry VIII;La vie privée d'Henry VIII;1933;Biography, Romance, Comedy, Drama, History;GB;97;0.0;HE GAVE HIS WIVES A PAIN IN THE NECK, And did his necking with an axe. Henry, the Eighth Wonder of the World! And this picture...the wonder of all time!;Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.;43122;7.0;5144;Charles Laughton, Claud Allister, Franklin Dyall, Gibb McLaughlin, John Loder, Lawrence Hanray, Miles Mander, Robert Donat, Sam Livesey, William Austin;;Alexander Korda;;Arthur Wimperis, Lajos Biró
tt0024844;L'Atalante;L'Atalante;Le chaland qui passe;1934;Comedy, Romance, Drama;FR;89;0.0;;Capricious small-town girl Juliette and barge captain Jean marry after a whirlwind courtship, and she comes to live aboard his boat, L'Atalante. As they make their way down the Seine, Jean grows weary of Juliette's flirtations with his all-male crew, and Juliette longs to escape the monotony of the boat and experience the excitement of a big city. When she steals away to Paris by herself, her husband begins to think their marriage was a mistake.;43904;7.7;18134;Claude Aveline, Gilles Margaritis, Jean Dasté, Lou Bonin, Louis Lefebvre, Maurice Gilles, Michel Simon, Raphaël Diligent, René Blech;Dita Parlo;Jean Vigo;Jacques-Louis Nounez;Albert Riéra, Jean Guinée, Jean Vigo
tt0024989;The Clairvoyant;The Clairvoyant;The Clairvoyant;1935;Romance, Thriller, Drama, Mystery;GB;81;0.0;HEXED BY THE EVIL EYE;A fake psychic suddenly turns into the real thing when he meets a young beauty. (TCM);43692;6.6;1253;Athole Stewart, Ben Field, C. Denier Warren, Claude Rains, Donald Calthrop, Felix Aylmer, Frank Cellier;Fay Wray, Jane Baxter, Mary Clare;Maurice Elvey;;Bryan Edgar Wallace, Charles Bennett, Ernst Lothar
tt0025397;Liliom;Liliom;Liliom;1934;Fantasy, Drama;FR;118;0.0;;"Two women love the same man in a world of few prospects. In Budapest, Liliom is a ""public figure,"" a rascal who's a carousel barker, loved by the experienced merry-go-round owner and by a young, innocent maid. The maid, Julie, loses her job after going out with Liliom; he's fired by his jealous employer for going out with Julie. The two lovers move in with Julie's aunt; unemployment emasculates him and a local weasel tempts him with crime. Julie, now wan, is true to Liliom even in his bad temper. Meanwhile, a stolid widower, a carpenter, wants to marry Julie. Is there any future on this earth for Julie and Liliom, whose love is passionate rather than ideal?";63702;6.8;1307;Alexandre Rignault, Antonin Artaud, Charles Boyer, Henri Richard, Léon Arvel, Marcel Barencey, Raoul Marco, Robert Arnoux, Roland Toutain;Madeleine Ozeray;Fritz Lang;Erich Pommer;Bernard Zimmer, Ferenc Molnár, Robert Liebmann
