frenchTitle;averageRating;numVotes;Action;Adventure;Animation;Biography;Comedy;Crime;Documentary;Drama;Family;Fantasy;Film-Noir;History;Horror;Music;Musical;Mystery;Romance;Sci-Fi;ScienceFiction;Sport;TVMovie;Thriller;Unknown;War;Western;decade
J'accuse;7.7;2240;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1910
Coeur fidèle;7.4;1540;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1920
L'inhumaine;7.2;1134;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1920
Les cheveux d'or;7.3;14289;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1920
Nana;6.6;1011;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1920
C'est la vie;6.0;3292;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1920
L'arène;6.1;4138;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1920
La chute de la maison Usher;7.2;4804;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1920
La Passion de Jeanne d'Arc;8.1;64935;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1920
Jazz-Bank;7.5;1205;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1920
Chantage;6.9;12878;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1920
L'homme de l'île de Man;6.2;3460;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1920
Piccadilly;7.1;1946;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1920
La partie de dés;6.5;1078;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1920
Un Cottage dans le Dartmoor;7.5;1288;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1930
Meurtre;6.3;7454;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1930
Le roman de Renard;7.6;1664;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1930
Sous les toits de Paris;7.0;2572;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1930
