frenchTitle;genres;averageRating;numVotes;decade
J'accuse;Horror, War, Romance, Drama, History;7.7;2240;1910
Coeur fidèle;Romance, Drama;7.4;1540;1920
L'inhumaine;Romance, ScienceFiction, Drama, Mystery;7.2;1134;1920
Les cheveux d'or;Thriller, Drama, Crime, Mystery;7.3;14289;1920
Nana;Romance, Drama;6.6;1011;1920
C'est la vie;Thriller, Adventure, Drama;6.0;3292;1920
L'arène;Romance, Drama, Sport;6.1;4138;1920
La chute de la maison Usher;Fantasy, Drama, Horror;7.2;4804;1920
La Passion de Jeanne d'Arc;Drama, History, Biography;8.1;64935;1920
Jazz-Bank;Romance, Drama;7.5;1205;1920
Chantage;Thriller, Drama, Crime, Mystery;6.9;12878;1920
L'homme de l'île de Man;Romance, Drama;6.2;3460;1920
Piccadilly;Drama, Crime;7.1;1946;1920
La partie de dés;Romance, Adventure, Drama;6.5;1078;1920
Un Cottage dans le Dartmoor;Drama, Crime;7.5;1288;1930
Meurtre;Thriller, Drama, Crime, Mystery;6.3;7454;1930
Le roman de Renard;Animation, Adventure, Family, Comedy, Fantasy;7.6;1664;1930
Sous les toits de Paris;Music, Musical, Romance, Comedy, Drama;7.0;2572;1930
Âge d'or;Comedy, Romance, Drama;7.2;15271;1930
La chienne;Romance, Drama, Crime;7.5;5114;1930
La tragédie de la mine;Thriller, Drama;7.5;1906;1930
Marius;Comedy, Romance, Drama;7.8;2730;1930
Le million;Comedy, Musical, Music;7.3;3958;1930
À nous la liberté!;Comedy, Musical, Music;7.4;5115;1930
Boudu sauvé des eaux;Comedy;7.2;6471;1930
Les croix de bois;Drama, War;7.7;1818;1930
Fanny;Comedy, Drama;7.8;2027;1930
La nuit du carrefour;Drama, Crime, Mystery;6.5;1013;1930
Vampyr, ou l'étrange aventure de David Gray;Fantasy, Horror;7.4;21716;1930
La vie privée d'Henry VIII;Biography, Romance, Comedy, Drama, History;7.0;5144;1930
Le chaland qui passe;Comedy, Romance, Drama;7.7;18134;1930
The Clairvoyant;Romance, Thriller, Drama, Mystery;6.6;1253;1930
Liliom;Fantasy, Drama;6.8;1307;1930
L'homme qui en savait trop;Thriller, Drama, Crime, Mystery;6.7;22425;1930
Mauvaise graine;Comedy, Romance, Drama, Crime;6.1;1128;1930
Le chevalier de Londres;Adventure, Drama;7.3;4971;1930
Toni;Romance, Drama, Crime;7.2;2198;1930
Les 39 marches;Thriller, Crime, Mystery;7.6;63957;1930
Fantôme à vendre;Comedy, Romance, Fantasy, Horror;6.7;2247;1930
La kermesse héroïque;Comedy, Romance, History;7.4;1480;1930
Scrooge;Fantasy, Drama, Family;6.5;2828;1930
Transatlantic;ScienceFiction, Drama, Sci-Fi;6.0;1062;1930
La chasse aux millions;Comedy, Romance, Drama;6.3;2263;1930
Les bas-fonds;Romance, Drama, Crime;7.5;3804;1930
Jours de Pâques;Drama;7.5;1515;1930
Sur La Cour;Comedy, Drama, Crime;7.3;3891;1930
César;Comedy, Drama;7.6;1736;1930
Drôle de drame;Comedy;7.4;2051;1930
Cerveaux de rechange;ScienceFiction, Horror, Sci-Fi;6.6;1292;1930
Mayerling;Romance, Drama, History;7.0;1002;1930
Rembrandt;Drama, Biography;7.0;2055;1930
Le roman d'un tricheur;Comedy, Drama;7.5;2659;1930
Agent secret;Thriller, Drama, Crime;7.0;19788;1930
Quatre de l'espionnage;Thriller, Mystery, Crime, Romance, Drama;6.4;9391;1930
La Vie future;ScienceFiction, Drama, War, Sci-Fi;6.6;9634;1930
Le mystère de la section 8;Romance, Adventure, Crime, Thriller;6.2;1549;1930
A l'angle du monde;Romance, Drama, History;7.3;2250;1930
L'invincible Armada;Adventure, War, Romance, Drama, History;6.5;2063;1930
La grande illusion;Drama, War, History;8.1;40129;1930
Les mines du roi Salomon;Adventure, Drama, Action, Family;6.3;1562;1930
Le chevalier sans armure;Adventure, Drama, History;6.8;1552;1930
L'Homme qui pouvait accomplir des Miracles;Comedy, Family, Fantasy;6.9;1667;1930
Oh, Mr. Porter!;Comedy, Adventure, Crime;7.4;1914;1930
Les nuits blanches;Romance, Drama, Crime;7.7;8378;1930
Tempête dans un verre d'eau;Comedy, Romance;6.5;1225;1930
Un carnet de bal;Romance, Drama;7.4;1030;1930
Jeune et innocent;Thriller, Mystery, Crime, Romance, Drama;6.8;11541;1930
La bête humaine;Drama, Crime;7.5;8708;1930
La Citadelle;Drama;7.0;2468;1930
Le Divorce de Lady X;Comedy, Romance, Drama;6.6;1724;1930
La femme du boulanger;Comedy, Drama;7.5;2551;1930
Hôtel du Nord;Comedy, Romance, Drama;7.5;3424;1930
Une femme disparaît;Thriller, Mystery, Crime, Comedy, Drama;7.7;59418;1930
La Marseillaise - Chronique de quelques faits ayant contribué à la chute de la Monarchie;Music, Drama, History;7.0;1457;1930
Pygmalion;Comedy, Romance, Drama;7.7;10094;1930
Le quai des brumes;Romance, Drama, Crime;7.7;10425;1930
Vedettes du pavé;Comedy, Drama;6.9;1548;1930
Vivent les étudiants!;Romance, Drama, Sport;6.6;1401;1930
