tconst;frenchTitle;genres;averageRating;numVotes;actor1;actor2;actor3;decade
tt0003643;La conscience vengeresse;Drama, Horror, Crime;6.4;1531;Henry B. Walthall;Spottiswoode Aitken;Blanche Sweet;1910
tt0003772;Cinderella;Drama, Fantasy;6.0;1116;Mary Pickford;Owen Moore;Isabel Vernon;1910
tt0004181;Judith de Béthulie;Drama, History, War;6.2;1501;Blanche Sweet;Henry B. Walthall;Mae Marsh;1910
tt0004465;Les exploits d'Elaine;Drama, Adventure, Action;6.3;1107;Pearl White;Crane Wilbur;Paul Panzer;1910
tt0004707;La Folle Aventure de Charlot et de Lolotte;Comedy, Drama, Romance;6.2;3824;Charles Chaplin;Marie Dressler;Mabel Normand;1910
tt0004972;Naissance d'une nation;History, Drama, War;6.1;27488;Lillian Gish;Mae Marsh;Henry B. Walthall;1910
tt0005060;Carmen;Drama, Musical;6.3;1144;Geraldine Farrar;Wallace Reid;Pedro de Cordoba;1910
tt0005078;Forfaiture;Drama, Romance;6.5;2948;Fannie Ward;Sessue Hayakawa;Jack Dean;1910
tt0005960;Régénération;Romance, Drama, Biography, Crime;6.8;1502;Rockliffe Fellowes;Anna Q. Nilsson;William Sheer;1910
tt0006206;Les vampires;Adventure, Drama, Action, Thriller, Crime;7.3;5696;Musidora;Édouard Mathé;Marcel Lévesque;1910
tt0006333;20 000 lieues sous les mers;Adventure, ScienceFiction, Drama, Action, Sci-Fi;6.1;2130;Allen Holubar;Dan Hanlon;Edna Pendleton;1910
tt0006780;Le justicier;Western, Action, Romance;6.7;1136;William S. Hart;Clara Williams;Jack Standing;1910
tt0006864;Intolérance;Drama, History;7.7;17424;Lillian Gish;Robert Harron;Mae Marsh;1910
tt0006886;Judex;Adventure, Drama, Thriller, Mystery, Crime;7.2;1194;René Cresté;Musidora;René Poyen;1910
tt0008443;Une pauvre petite fille riche;Drama, Fantasy, Comedy, Family, Romance;6.7;1611;Mary Pickford;Madlaine Traverse;Charles Wellesley;1910
tt0008891;L'oiseau bleu;Drama, Family, Fantasy;6.9;1079;Tula Belle;Robin Macdougall;Edwin E. Reed;1910
tt0009150;Coeurs du monde;Drama, War;6.5;1147;Lillian Gish;Dorothy Gish;Robert Harron;1910
tt0009369;Mickey;Comedy, Drama;6.1;1205;Mabel Normand;George Nichols;Laura La Varnie;1910
tt0009652;Le roman de Mary;Drama;6.8;1645;Mary Pickford;Ida Waterman;Herbert Standing;1910
tt0009937;L'Alpe vengeresse;Drama, Romance;6.9;1757;Sam De Grasse;Francelia Billington;Erich von Stroheim;1910
tt0009968;Le lys brisé;Drama, Romance;7.2;11474;Lillian Gish;Richard Barthelmess;Donald Crisp;1910
tt0010040;Papa longue-jambes;Comedy, Drama, Musical;6.6;1496;Mary Pickford;Milla Davenport;Percy Haswell;1910
tt0010071;Après la pluie, le beau temps;Comedy;6.5;1305;Elliott Dexter;Gloria Swanson;Lew Cody;1910
tt0010267;Dans les bas-fonds;Comedy;6.6;1067;Mary Pickford;Ralph Lewis;Kenneth Harlan;1910
tt0010307;J'accuse;Drama, War, Horror, Romance, History;7.7;2248;Romuald Joubé;Maxime Desjardins;Séverin-Mars;1910
tt0010418;L'admirable Crichton;Drama, Adventure, Fantasy;7.0;2032;Thomas Meighan;Theodore Roberts;Raymond Hatton;1910
tt0010806;Le pauvre amour;Comedy, Drama, Romance;6.9;2086;Lillian Gish;Robert Harron;Wilbur Higby;1910
